Codice,Descrizione
GTI,"wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities"
VG,"wholesale and retail trade services, repair of vehicles and motorcycles"
G,"wholesale and retail trade services, repair of  vehicles and motorcycles"
V45,wholesale and retail trade and repair of motor vehicles and motorcycles
G45,wholesale and retail trade and repair of motor vehicles and motorcycles
V46,"wholesale trade, except of motor vehicles and motorcycles"
G46,"wholesale trade, except of motor vehicles and motorcycles"
V47,"retail trade, except of motor vehicles and motorcycles"
G47,"retail trade, except of motor vehicles and motorcycles"
VH,transportation and storage
H,transportation and storage
V49,land transport and transport via pipelines
H49,land transport and transport via pipelines
V50,water transport
H50,water transport
V51,air transport
H51,air transport
V52,warehousing and support activities for transportation
H52,warehousing and support activities for transportation
V53,postal and courier activities
H53,postal and courier activities
VI,accommodation and food service activities
I,accommodation and food service activities
VJ,information and communication
J,information and communication
VJA,"publishing, audiovisual and broadcasting activities"
J58T60,"publishing, audiovisual and broadcasting activities"
V58,publishing activities
J58,publishing activities
V59_60,"motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting"
J59T60,"motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting"
VJB,telecommunications
J61,telecommunications
VJC,"computer programming, consultancy and related activities, information service activities"
J62_63,"computer programming, consultancy and related activities, information service activities"
VK,financial and insurance activities
KTN,"financial and insurance activities, real estate activities, real estate activities, administrative and support service activities"
K,financial and insurance activities
A64,"financial service activities, except insurance and pension funding"
K64,"financial service activities, except insurance and pension funding"
A65,"insurance, reinsurance and pension funding, except compulsory social security"
K65,"insurance, reinsurance and pension funding, except compulsory social security"
A66,activities auxiliary to financial services and insurance activities
K66,activities auxiliary to financial services and insurance activities
VL_N,"real estate activities, professional, scientific and technical activities, administrative and support service activities"
LTN,"real estate activities, professional, scientific and technical activities, administrative and support service activities"
VL,real estate activities
L,real estate activities
V68A,"real estate activities, of which:imputated rents of owner-occupied dwellings"
L68A,"real estate activities, of witch:imputated rents of owner-occupied dwellings"
L68B,real estate activities excluding imputed rents
VM_N,"professional, scientific and technical activities, administrative and support service activities"
M_N,"professional, scientific and technical activities, administrative and support service activities"
VM,"professional, scientific and technical activities"
M,"professional, scientific and technical activities"
VMA,"legal and accounting activities, activities of head offices, management consultancy activities, architectural and engineering activities, technical testing and analysis"
M69T71,"legal and accounting activities, activities of head offices, management consultancy activities, architectural and engineering activities, technical testing and analysis"
